,city_x,state_x,population_x,county_x,latitude_x,longitude_x,city_y,state_y,county_y,latitude_y,longitude_y,population_y,sim
20791,Emmonak,Alaska,1005,Kusilvak,62.7762,-164.5157,Scammon Bay,Alaska,Kusilvak,61.845019,-165.581945,,True
20903,Ester,Alaska,2719,Fairbanks North Star,64.8646,-148.0916,Ester,Alaska,Fairbanks North Star,64.846667,-148.016667,,True
21311,Evansville,Alaska,17,Yukon-Koyukuk,66.9206,-151.4201,Anvik,Alaska,Yukon Koyukuk,62.830913,-160.130441,,True
21494,Evansville,Alaska,17,Yukon-Koyukuk,66.9206,-151.4201,Stevens Village,Alaska,Yukon Koyukuk,65.995894,-149.118286,,True
21820,Fairbanks,Alaska,64160,Fairbanks North Star,64.8353,-147.6533,Fairbanks,Alaska,Fairbanks North Star,64.840238,-147.710431,,True
22050,False Pass,Alaska,106,Aleutians East,54.8416,-163.348,False Pass,Alaska,Aleutians East,54.841028,-163.436845,,True
23277,Flat,Alaska,0,Yukon-Koyukuk,62.4415,-158.0405,Nulato,Alaska,Yukon Koyukuk,64.778024,-157.991353,,True
23425,Fort Greely,Alaska,150,Southeast Fairbanks,63.9678,-145.7149,Fort Greely,Alaska,Southeast Fairbanks,64.036667,-145.733333,,True
23657,Fort Yukon,Alaska,520,Yukon-Koyukuk,66.5806,-145.2415,Fort Yukon,Alaska,Yukon Koyukuk,66.520744,-145.306439,,True
25262,Galena,Alaska,519,Yukon-Koyukuk,64.7381,-156.8635,Galena,Alaska,Yukon Koyukuk,64.760784,-156.797701,,True
25267,Galena,Alaska,519,Yukon-Koyukuk,64.7381,-156.8635,Grayling,Alaska,Yukon Koyukuk,63.372013,-159.404907,,True
25492,Gambell,Alaska,419,Nome,63.7538,-171.6881,Gambell,Alaska,Nome,63.776555,-171.701685,,True
27098,Goodnews Bay,Alaska,73,Bethel,59.1271,-161.5753,Goodnews Bay,Alaska,Bethel,59.085008,-161.587146,,True
27231,Goodnews Bay,Alaska,73,Bethel,59.1271,-161.5753,Toksook Bay,Alaska,Bethel,60.537,-165.097,,True
27323,Grayling,Alaska,236,Yukon-Koyukuk,62.8998,-160.1078,Galena,Alaska,Yukon Koyukuk,64.760784,-156.797701,,True
27328,Grayling,Alaska,236,Yukon-Koyukuk,62.8998,-160.1078,Grayling,Alaska,Yukon Koyukuk,63.372013,-159.404907,,True
28017,Haines,Alaska,1571,Haines,59.2416,-135.4549,Haines,Alaska,Haines,59.251886,-135.542032,,True
28934,Healy,Alaska,911,Denali,63.9454,-149.0151,Healy,Alaska,Denali,63.917123,-149.011128,,True
29137,Healy Lake,Alaska,23,Southeast Fairbanks,64.0281,-144.6331,Eagle,Alaska,Southeast Fairbanks,64.783333,-141.2,,True
29851,Holy Cross,Alaska,290,Yukon-Koyukuk,62.1868,-159.8198,Holy Cross,Alaska,Yukon Koyukuk,62.192584,-159.825092,,True
30081,Homer,Alaska,5531,Kenai Peninsula,59.653,-151.5255,Homer,Alaska,Kenai Peninsula,59.665495,-151.462644,,True
30084,Homer,Alaska,5531,Kenai Peninsula,59.653,-151.5255,Hope,Alaska,Kenai Peninsula,60.92,-149.641667,,True
30541,Hooper Bay,Alaska,961,Kusilvak,61.5262,-166.1146,Hooper Bay,Alaska,Kusilvak,61.537157,-165.891045,,True
30768,Hope,Alaska,105,Kenai Peninsula,60.8924,-149.6352,Homer,Alaska,Kenai Peninsula,59.665495,-151.462644,,True
